FULLBARCODE,ITEMNAME,ISWEIGHT,PRICEEX1,FLDPRICEUNIT,UNITID,UNITNAME,UNITQTYX100,FPRICEEX4,FULLDESCRIPTION,PROMONUM,DESCRIPTION,STARTDATE,STARTTIME,ENDDATE,ENDTIME,ISWEIGHTEDPROMO,ADDITIONALISCOUPON,ADDITIONALGIFTCOUNT,MINPURCHASEAMOUNT,MINQTY,MINAMOUNT,MAXQTY,DISCOUNTTYPE,DISCOUNTRATE,DISCOUNTEDPRICE,DISCOUNTEDPRICEPERUNIT,CLUBID,ADDITIONALINFO,PROMOTYPE,PROMOTYPENAME,PROMOSUBTYPE,PROMOSUBTYPENAME,LASTINLIST
8858271004126,מזרח ומערב יבוא מקסצ,0,1550,221,12,100 מל,70000,0,מזרח ומערב יבוא מקסצ'אפ רוטב חמוץ מתוק 7,,,,,,,,,,,,,,,,,,,,,,,,1
8858271004300,מזרח ומערב יבוא מקסצ,0,2190,313,12,100 מל,70000,0,מזרח ומערב יבוא מקסצ'אפ רוטב טריאקי 700,,,,,,,,,,,,,,,,,,,,,,,,1
8858271004423,מזרח ומערב יבוא מקסצ,0,1190,476,12,100 מל,25000,0,מזרח ומערב יבוא מקסצ'אפ רוטב טום יאם 250,,,,,,,,,,,,,,,,,,,,,,,,1
8858271004799,מזרח ומערב יבוא רוטב,0,1290,184,12,100 מל,70000,0,מזרח ומערב יבוא רוטב צילי מתוק 700 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8858271005451,רוטב סויה פורמולה  2,0,1090,436,12,100 מל,25000,0,רוטב סויה פורמולה  250-1 מל מקסצ'אפ,,,,,,,,,,,,,,,,,,,,,,,,1
8858271005772,מזרח ומערב רוטב סויה,0,1690,563,12,100 מל,30000,0,מזרח ומערב רוטב סויה ללא גלוטן 300 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8858671550063,טמפורה מתובלת בשום,0,1090,218,11,100 גרם,50000,0,טמפורה מתובלת בשום ופלפל שחור  500 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
8865215427668,מככשיר קרפ BENATON B,0,17990,0,,יחידה,0,0,מככשיר קרפ BENATON BT-2766 6IN1,,,,,,,,,,,,,,,,,,,,,,,,1
8873673192028,סדין חימום זוגי BENA,0,14900,0,,יחידה,0,0,סדין חימום זוגי BENATON BT-1920,,,,,,,,,,,,,,,,,,,,,,,,1
8882672554201,מפזר חום עומד/BENATO,0,5900,0,,יחידה,0,0,מפזר חום עומד/BENATON BT55420,,,,,,,,,,,,,,,,,,,,,,,,1
8883178355415,תנור חימום מסתובב BE,0,14900,0,,יחידה,0,0,תנור חימום מסתובב BENATON BT-55415,,,,,,,,,,,,,,,,,,,,,,,,1
8887284559002,תנור חימום 3 ספירלות,0,13990,0,,יחידה,0,0,תנור חימום 3 ספירלות BT-55900 BENATON,,,,,,,,,,,,,,,,,,,,,,,,1
8901138500306,הימלאיה משחת שיניים,0,2290,2290,12,100 מל,10000,0,הימלאיה משחת שיניים 100 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8901138825577,הימלאיה משחת שיניים,0,1990,2653,12,100 מל,7500,0,הימלאיה משחת שיניים להגנה מושלמת 75 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8901138825591,הימלאיה משחת שיניים,0,1990,0,,יחידה,0,0,הימלאיה משחת שיניים מלבינה 75 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8901138825614,הימלאיה משחת שיניים,0,1990,0,,יחידה,0,0,הימלאיה משחת שיניים מינט פרש 75 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8906053369700,צידנית 32 ליטר,0,15990,0,,יחידה,0,0,צידנית 32 ליטר,,,,,,,,,,,,,,,,,,,,,,,,1
8927724191253,מפזר חום לאמבטיה BEN,0,14900,0,,יחידה,0,0,מפזר חום לאמבטיה BENATON BT-1912,,,,,,,,,,,,,,,,,,,,,,,,1
